_id,Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
64a5ec6b01ab865a61af8cbf,Office Supplies,Houston,United States,Darren Powers,Message Book,2019-01-03T05:00:00.000Z,US-2019-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,1/7/2019,Standard Class,Texas,Paper,0.2,5.5512,2,16.448
64a5ec6b01ab865a61af8cc0,Office Supplies,Naperville,United States,Phillina Ober,GBC,1/4/2019,US-2019-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,1/8/2019,Standard Class,Illinois,Binders,0.8,-5.487,2,3.54
64a5ec6b01ab865a61af8cc1,Office Supplies,Naperville,United States,Phillina Ober,Avery,1/4/2019,US-2019-112326,60540,Avery 508,Central,Home Office,1/8/2019,Standard Class,Illinois,Labels,0.2,4.2717,3,11.784
64a5ec6b01ab865a61af8cc2,Office Supplies,Naperville,United States,Phillina Ober,SAFCO,1/4/2019,US-2019-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,1/8/2019,Standard Class,Illinois,Storage,0.2,-64.7748,3,272.736
64a5ec6b01ab865a61af8cc3,Office Supplies,Philadelphia,United States,Mick Brown,Avery,1/5/2019,US-2019-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,1/12/2019,Standard Class,Pennsylvania,Art,0.2,4.884,3,19.536
64a5ec6b01ab865a61af8cc4,Furniture,Henderson,United States,Maria Etezadi,Global,1/6/2019,US-2019-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,1/10/2019,Standard Class,Kentucky,Chairs,0,746.4078,9,2573.82
64a5ec6b01ab865a61af8cc5,Office Supplies,Henderson,United States,Maria Etezadi,Rogers,1/6/2019,US-2019-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,1/10/2019,Standard Class,Kentucky,Art,0,1.4796,2,5.48
64a5ec6b01ab865a61af8cc6,Office Supplies,Athens,United States,Jack O'Briant,Dixon,1/6/2019,US-2019-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,1/7/2019,First Class,Georgia,Art,0,5.2398,3,12.78
64a5ec6b01ab865a61af8cc7,Office Supplies,Henderson,United States,Maria Etezadi,Ibico,1/6/2019,US-2019-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,1/10/2019,Standard Class,Kentucky,Binders,0,274.491,2,609.98
64a5ec6b01ab865a61af8cc8,Office Supplies,Henderson,United States,Maria Etezadi,Alliance,1/6/2019,US-2019-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,1/10/2019,Standard Class,Kentucky,Fasteners,0,0.3112,4,31.12
64a5ec6b01ab865a61af8cc9,Office Supplies,Henderson,United States,Maria Etezadi,Southworth,1/6/2019,US-2019-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,1/10/2019,Standard Class,Kentucky,Paper,0,3.0084,1,6.54
64a5ec6b01ab865a61af8cca,Office Supplies,Los Angeles,United States,Lycoris Saunders,Xerox,1/6/2019,US-2019-130813,90049,Xerox 225,West,Consumer,1/8/2019,Second Class,California,Paper,0,9.3312,3,19.44
64a5ec6b01ab865a61af8ccb,Technology,Henderson,United States,Maria Etezadi,Other,1/6/2019,US-2019-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,1/10/2019,Standard Class,Kentucky,Phones,0,204.1092,4,755.96
64a5ec6b01ab865a61af8ccc,Technology,Henderson,United States,Maria Etezadi,GE,1/6/2019,US-2019-167199,42420,GE 30524EE4,South,Home Office,1/10/2019,Standard Class,Kentucky,Phones,0,113.6742,2,391.98
64a5ec6b01ab865a61af8ccd,Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,1/7/2019,US-2019-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,1/12/2019,Standard Class,Texas,Furnishings,0.6,-53.7096,3,76.728
64a5ec6b01ab865a61af8cce,Office Supplies,Huntsville,United States,Vivek Sundaresam,Acco,1/7/2019,US-2019-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,1/12/2019,Standard Class,Texas,Binders,0.8,-18.2525,7,10.43
64a5ec6b01ab865a61af8ccf,Office Supplies,Laredo,United States,Melanie Seite,Newell,1/9/2019,US-2019-135405,78041,Newell 312,Central,Consumer,1/13/2019,Standard Class,Texas,Art,0.2,1.168,2,9.344
64a5ec6b01ab865a61af8cd0,Technology,Laredo,United States,Melanie Seite,Memorex,1/9/2019,US-2019-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,1/13/2019,Standard Class,Texas,Accessories,0.2,9.75,3,31.2
64a5ec6b01ab865a61af8cd1,Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,1/10/2019,US-2019-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,1/15/2019,Standard Class,Virginia,Furnishings,0,21.2954,1,51.94
64a5ec6b01ab865a61af8cd2,Office Supplies,Springfield,United States,Anthony Jacobs,Avery,1/10/2019,US-2019-149020,22153,Avery 482,South,Corporate,1/15/2019,Standard Class,Virginia,Labels,0,1.3583,1,2.89
64a5ec6b01ab865a61af8cd3,Furniture,Dover,United States,Seth Vernon,DAX,1/11/2019,US-2019-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,1/14/2019,First Class,Delaware,Furnishings,0,3.0814,2,9.94
64a5ec6b01ab865a61af8cd4,Furniture,San Francisco,United States,Brian Dahlen,O'Sullivan,1/13/2019,US-2019-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,1/18/2019,Standard Class,California,Bookcases,0.15,3.9294,3,333.999
64a5ec6b01ab865a61af8cd5,Furniture,Mount Pleasant,United States,Natalie DeCherney,Global,1/13/2019,US-2019-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,1/16/2019,Second Class,South Carolina,Chairs,0,87.3504,6,545.94
64a5ec6b01ab865a61af8cd6,Office Supplies,San Francisco,United States,Brian Dahlen,Other,1/13/2019,US-2019-157147,94109,4009 Highlighters by Sanford,West,Consumer,1/18/2019,Standard Class,California,Art,0,6.567,5,19.9
64a5ec6b01ab865a61af8cd7,Office Supplies,Newark,United States,Michael Moore,Avery,1/13/2019,US-2019-118192,43055,Avery Metallic Poly Binders,East,Consumer,1/18/2019,Standard Class,Ohio,Binders,0.7,-2.5212,2,3.438
64a5ec6b01ab865a61af8cd8,Office Supplies,Bossier City,United States,Chris Selesnick,3-ring staple pack,1/13/2019,US-2019-162775,71111,3-ring staple pack,South,Corporate,1/15/2019,Second Class,Louisiana,Binders,0,2.7072,3,5.64
64a5ec6b01ab865a61af8cd9,Office Supplies,Bossier City,United States,Chris Selesnick,Other,1/13/2019,US-2019-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,1/15/2019,Second Class,Louisiana,Envelopes,0,25.47,3,50.94
64a5ec6b01ab865a61af8cda,Office Supplies,Bossier City,United States,Chris Selesnick,Staple envelope,1/13/2019,US-2019-162775,71111,Staple envelope,South,Corporate,1/15/2019,Second Class,Louisiana,Envelopes,0,5.3392,2,11.36
64a5ec6b01ab865a61af8cdb,Office Supplies,Newark,United States,Michael Moore,Xerox,1/13/2019,US-2019-118192,43055,Xerox 1923,East,Consumer,1/18/2019,Standard Class,Ohio,Paper,0.2,13.0928,7,37.408
64a5ec6b01ab865a61af8cdc,Office Supplies,Bossier City,United States,Chris Selesnick,Fellowes,1/13/2019,US-2019-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,1/15/2019,Second Class,Louisiana,Storage,0,34.3548,6,572.58
64a5ec6b01ab865a61af8cdd,Office Supplies,San Francisco,United States,Brian Dahlen,Tennsco,1/13/2019,US-2019-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,1/18/2019,Standard Class,California,Storage,0,238.653,5,1325.85
64a5ec6b01ab865a61af8cde,Technology,Bossier City,United States,Chris Selesnick,Plantronics,1/13/2019,US-2019-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,1/15/2019,Second Class,Louisiana,Accessories,0,258.696,6,646.74
64a5ec6b01ab865a61af8cdf,Furniture,Philadelphia,United States,Brendan Sweed,Sauder,1/14/2019,US-2019-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,1/15/2019,First Class,Pennsylvania,Bookcases,0.5,-53.2856,4,61.96
64a5ec6b01ab865a61af8ce0,Technology,Roswell,United States,Erica Hackney,Logitech,1/15/2019,US-2019-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,1/17/2019,First Class,Georgia,Accessories,0,65.978,5,149.95
64a5ec6b01ab865a61af8ce1,Furniture,Philadelphia,United States,Delfina Latchford,DAX,1/16/2019,US-2019-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,1/18/2019,Second Class,Pennsylvania,Furnishings,0.2,28.5984,6,127.104
64a5ec6b01ab865a61af8ce2,Office Supplies,Philadelphia,United States,Delfina Latchford,GBC,1/16/2019,US-2019-115791,19134,GBC Linen Binding Covers,East,Consumer,1/18/2019,Second Class,Pennsylvania,Binders,0.7,-13.6312,2,18.588
64a5ec6b01ab865a61af8ce3,Office Supplies,Philadelphia,United States,Delfina Latchford,Other,1/16/2019,US-2019-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,1/18/2019,Second Class,Pennsylvania,Labels,0.2,10.1493,3,30.072
64a5ec6b01ab865a61af8ce4,Technology,Philadelphia,United States,Delfina Latchford,AT&T,1/16/2019,US-2019-115791,19134,AT&T 841000 Phone,East,Consumer,1/18/2019,Second Class,Pennsylvania,Phones,0.4,-31.05,3,124.2
64a5ec6b01ab865a61af8ce5,Office Supplies,Springfield,United States,David Wiener,Fellowes,1/18/2019,US-2019-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,1/21/2019,Second Class,Oregon,Appliances,0.2,6.4864,4,64.864
64a5ec6b01ab865a61af8ce6,Furniture,Scottsdale,United States,Toby Swindell,O'Sullivan,1/19/2019,US-2019-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,1/20/2019,First Class,Arizona,Bookcases,0.7,-320.597,5,181.47
64a5ec6b01ab865a61af8ce7,Office Supplies,Scottsdale,United States,Toby Swindell,GBC,1/19/2019,US-2019-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,1/20/2019,First Class,Arizona,Binders,0.7,-23.716,10,32.34
64a5ec6b01ab865a61af8ce8,Office Supplies,Scottsdale,United States,Toby Swindell,Tyvek,1/19/2019,US-2019-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,1/20/2019,First Class,Arizona,Envelopes,0.2,36.693,5,108.72
64a5ec6b01ab865a61af8ce9,Office Supplies,Scottsdale,United States,Toby Swindell,TOPS,1/19/2019,US-2019-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,1/20/2019,First Class,Arizona,Paper,0.2,19.6224,4,56.064
64a5ec6b01ab865a61af8cea,Furniture,Jonesboro,United States,Hunter Lopez,Hon,1/20/2019,US-2019-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,1/26/2019,Standard Class,Arkansas,Chairs,0,224.2674,3,1067.94
64a5ec6b01ab865a61af8ceb,Furniture,Westland,United States,Xylona Preis,Ultra,1/20/2019,US-2019-167927,48185,Ultra Door Push Plate,Central,Consumer,1/26/2019,Standard Class,Michigan,Furnishings,0,4.8609,3,14.73
64a5ec6b01ab865a61af8cec,Furniture,Westland,United States,Xylona Preis,Eldon,1/20/2019,US-2019-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,1/26/2019,Standard Class,Michigan,Furnishings,0,30.0234,3,272.94
64a5ec6b01ab865a61af8ced,Furniture,Jonesboro,United States,Hunter Lopez,Eldon,1/20/2019,US-2019-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,1/26/2019,Standard Class,Arkansas,Furnishings,0,11.58,4,38.6
64a5ec6b01ab865a61af8cee,Furniture,Los Angeles,United States,Mark Van Huff,Eldon,1/20/2019,US-2019-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,1/25/2019,Standard Class,California,Furnishings,0,5.79,2,19.3
64a5ec6b01ab865a61af8cef,Office Supplies,Westland,United States,Xylona Preis,Holmes,1/20/2019,US-2019-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,1/26/2019,Standard Class,Michigan,Appliances,0.1,93.5816,4,247.716
64a5ec6b01ab865a61af8cf0,Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,1/20/2019,US-2019-147627,72401,Newell 351,South,Consumer,1/26/2019,Standard Class,Arkansas,Art,0,6.6584,7,22.96
64a5ec6b01ab865a61af8cf1,Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,1/20/2019,US-2019-147627,72401,Newell 327,South,Consumer,1/26/2019,Standard Class,Arkansas,Art,0,1.7901,3,6.63
64a5ec6b01ab865a61af8cf2,Office Supplies,Westland,United States,Xylona Preis,Panasonic,1/20/2019,US-2019-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,1/26/2019,Standard Class,Michigan,Art,0,12.7368,3,43.92
64a5ec6b01ab865a61af8cf3,Office Supplies,Westland,United States,Xylona Preis,Acco,1/20/2019,US-2019-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,1/26/2019,Standard Class,Michigan,Binders,0,8.9535,5,19.05
64a5ec6b01ab865a61af8cf4,Office Supplies,Smyrna,United States,Muhammed MacIntyre,GBC,1/20/2019,US-2019-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,1/26/2019,Standard Class,Tennessee,Binders,0.7,-51.5154,1,67.194
64a5ec6b01ab865a61af8cf5,Office Supplies,Westland,United States,Xylona Preis,Storex,1/20/2019,US-2019-167927,48185,Storex Dura Pro Binders,Central,Consumer,1/26/2019,Standard Class,Michigan,Binders,0,13.365,5,29.7
64a5ec6b01ab865a61af8cf6,Office Supplies,Jonesboro,United States,Hunter Lopez,Staple envelope,1/20/2019,US-2019-147627,72401,Staple envelope,South,Consumer,1/26/2019,Standard Class,Arkansas,Envelopes,0,10.9698,3,23.34
64a5ec6b01ab865a61af8cf7,Office Supplies,Los Angeles,United States,Mark Van Huff,Wirebound,1/20/2019,US-2019-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,1/25/2019,Standard Class,California,Paper,0,9.2928,2,19.36
64a5ec6b01ab865a61af8cf8,Office Supplies,Westland,United States,Xylona Preis,Eldon,1/20/2019,US-2019-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,1/26/2019,Standard Class,Michigan,Storage,0,4.0542,1,13.98
64a5ec6b01ab865a61af8cf9,Office Supplies,Westland,United States,Xylona Preis,Fellowes,1/20/2019,US-2019-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,1/26/2019,Standard Class,Michigan,Storage,0,15.9792,2,66.58
64a5ec6b01ab865a61af8cfa,Technology,Jonesboro,United States,Hunter Lopez,Apple,1/20/2019,US-2019-147627,72401,Apple iPhone 5C,South,Consumer,1/26/2019,Standard Class,Arkansas,Phones,0,181.9818,7,699.93
64a5ec6b01ab865a61af8cfb,Furniture,Miami,United States,Tom Boeckenhauer,Ultra,1/21/2019,US-2019-110422,33180,Ultra Door Pull Handle,South,Consumer,1/23/2019,Second Class,Florida,Furnishings,0.2,4.1028,3,25.248
64a5ec6b01ab865a61af8cfc,Furniture,Toronto,Canada,Jane Waco,Eldon,1/21/2019,CA-2019-115238,M7A,"Eldon Imàge Series Desk Accessories, Clear",East,Corporate,1/24/2019,Standard Class,Ontario,Furnishings,0,10.45,5,24.3
64a5ec6b01ab865a61af8cfd,Furniture,Toronto,Canada,Jane Waco,DAX,1/21/2019,CA-2019-115238,M7A,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,Corporate,1/24/2019,Standard Class,Ontario,Furnishings,0,3.79,1,9.48
64a5ec6b01ab865a61af8cfe,Furniture,Toronto,Canada,Jane Waco,Eldon,1/21/2019,CA-2019-115238,M7A,"Eldon 200 Class Desk Accessories, Burgundy",East,Corporate,1/24/2019,Standard Class,Ontario,Furnishings,0,13.19,5,31.4
64a5ec6b01ab865a61af8cff,Office Supplies,Toronto,Canada,Jane Waco,Other,1/21/2019,CA-2019-115238,M7A,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),East,Corporate,1/24/2019,Standard Class,Ontario,Paper,0,3.11,1,6.48
64a5ec6b01ab865a61af8d00,Technology,Toronto,Canada,Jane Waco,Other,1/21/2019,CA-2019-115238,M7A,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",East,Corporate,1/24/2019,Standard Class,Ontario,Phones,0,58.66,10,209.5
64a5ec6b01ab865a61af8d01,Office Supplies,Lafayette,United States,Speros Goranitis,Alliance,1/23/2019,US-2019-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,1/27/2019,Standard Class,Indiana,Fasteners,0,0,3,5.94
64a5ec6b01ab865a61af8d02,Office Supplies,Las Vegas,United States,Ionia McGrath,Xerox,1/23/2019,US-2019-102645,89115,Xerox 195,West,Consumer,1/28/2019,Standard Class,Nevada,Paper,0,19.2384,6,40.08
